--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Macroboard V1: Advertising Started...
# Sensor debug mode enabled
# CSV columns:
# ms,joy_x_raw,joy_y_raw,joy_x_centered,joy_y_centered,joy_x_step,joy_y_step,pot_raw,pot_pct
24447,1918,1885,-122,-169,-1,-2,4095,99
24530,1920,1938,-122,-127,-1,-1,4095,99
24613,1931,1909,-122,-144,-1,-2,4095,99
24696,1931,1905,-122,-141,-1,-2,4095,99
24779,1929,1899,-122,-148,-1,-2,4095,99
24862,1923,1888,-122,-151,-1,-2,4095,99
24945,1927,1887,-122,-151,-1,-2,4095,99
25028,1927,1895,-122,-143,-1,-2,4095,99
25111,1931,1898,-122,-146,-1,-2,4095,99
25194,1928,1891,-122,-149,-1,-2,4095,99
25277,1926,1888,-122,-152,-1,-2,4095,99
25360,1911,1895,-127,-152,-1,-2,4095,99
25443,1921,1899,-127,-151,-1,-2,4095,99
25526,1933,1897,-122,-151,-1,-2,4095,99
25609,1927,1898,-122,-151,-1,-2,4095,99
25692,1937,1901,-119,-151,-1,-2,4095,99
25775,1929,1899,-119,-155,-1,-2,4095,99
25858,1931,1903,-119,-152,-1,-2,4095,99
25941,2002,1898,-58,-152,-1,-2,4095,99
26024,1933,1899,-111,-152,-1,-2,4095,99
26107,1936,1897,-112,-148,-1,-2,4095,99
26190,1926,1897,-116,-148,-1,-2,4095,99
26273,1925,1897,-117,-148,-1,-2,4095,99
26356,1927,1897,-120,-154,-1,-2,4095,99
26439,1909,1901,-128,-154,-1,-2,4095,99
26522,1925,1895,-127,-154,-1,-2,4095,99
26605,1931,1894,-122,-154,-1,-2,4095,99
26688,1926,1883,-122,-153,-1,-2,4095,99
26771,1929,1898,-120,-162,-1,-2,4095,99
26854,1931,1901,-105,-156,-1,-2,4095,99
26937,1931,1900,-110,-153,-1,-2,4095,99
27020,1929,1904,-114,-153,-1,-2,4095,99
27103,1931,1898,-115,-153,-1,-2,4095,99
27186,1930,1898,-115,-152,-1,-2,0,0
27269,1917,1899,-120,-139,-1,-2,0,0
27352,1935,1909,-97,-141,-1,-2,2087,50
27435,1930,1974,-113,-84,-1,-1,4095,99
27518,1920,1907,-129,-148,-1,-2,4095,99
27601,1929,1902,-125,-168,-1,-2,4095,99
27684,1929,1899,-123,-157,-1,-2,4095,99
27767,1931,1901,-113,-154,-1,-2,4095,99
27850,1929,1899,-118,-156,-1,-2,4095,99
27933,1931,1899,-118,-153,-1,-2,4095,99
28016,1931,1907,-118,-146,-1,-2,4095,99
28099,1929,1890,-118,-149,-1,-2,4095,99
28182,1932,1890,-120,-151,-1,-2,4095,99
28265,1929,1898,-120,-153,-1,-2,4095,99
28348,1920,1890,-120,-153,-1,-2,4095,99
28431,1929,1895,-122,-155,-1,-2,4095,99
28514,1930,1903,-122,-151,-1,-2,4095,99
28597,1929,1897,-122,-145,-1,-2,4095,99
28680,1930,1902,-121,-149,-1,-2,4095,99
28763,1927,1899,-121,-151,-1,-2,4095,99
28846,1930,1903,-123,-152,-1,-2,2663,65
28929,1934,1894,-121,-145,-1,-2,4095,99
29012,1930,1898,-130,-149,-1,-2,4095,99
29095,1930,1897,-125,-149,-1,-2,4095,99
29178,1929,1903,-123,-149,-1,-2,4095,99
29261,1927,1903,-122,-149,-1,-2,4095,99
29344,1927,1897,-122,-157,-1,-2,4095,99
29427,1929,1900,-122,-153,-1,-2,4095,99
29510,1936,1898,-120,-151,-1,-2,4095,99
29593,1930,1899,-120,-151,-1,-2,4095,99
29676,1933,1893,-83,-151,-1,-2,4095,99
29759,1920,1887,-115,-150,-1,-2,4095,99
29842,1926,1897,-117,-150,-1,-2,4095,99
29925,1932,1895,-118,-156,-1,-2,4095,99
30008,1930,1903,-123,-153,-1,-2,4095,99
30091,1931,1902,-123,-153,-1,-2,4095,99
30174,1926,1905,-143,-151,-2,-2,4095,99
30257,1958,1894,-108,-161,-1,-2,4095,99
30340,1932,1899,-116,-165,-1,-2,4095,99
30423,1930,1903,-117,-155,-1,-2,4095,99
30506,1931,1897,-120,-153,-1,-2,4095,99
30589,1923,1889,-141,-151,-2,-2,4095,99
30672,1927,1899,-120,-142,-1,-2,4095,99
30755,1928,1902,-119,-147,-1,-2,4095,99
30838,1934,1899,-119,-147,-1,-2,4095,99
30921,1923,1895,-119,-151,-1,-2,4095,99
31004,1918,1930,-120,-135,-1,-1,4095,99
31087,1929,1900,-122,-140,-1,-2,4095,99
31170,1940,1901,-119,-145,-1,-2,4095,99
31253,1929,1878,-118,-156,-1,-2,4095,99
31336,1931,1888,-118,-156,-1,-2,4095,99
31419,1910,1891,-125,-156,-1,-2,4095,99
